dv,term,estimate,std.error,statistic,p.value
abs_ret_4_per,Item_5.04,0.001599876,0.000798447,2.00373533,0.045140811
abs_ret_4_per,Item_5.05,0.000277754,0.000505531,0.549430261,0.582729526
abs_ret_4_per,Item_5.06,0.001502769,0.001317267,1.140823962,0.253986196
abs_ret_4_per,Item_5.07,1.38E-05,6.10E-05,0.226164424,0.821080816
abs_ret_4_per,Item_5.08,-0.002193909,0.000692361,-3.168737554,0.001538288
abs_ret_4_per,Item_7.01,0.00181255,0.000109336,16.57784776,1.85E-60
abs_ret_4_per,Item_8.01,0.001722833,8.85E-05,19.46562241,5.07E-82
abs_ret_4_per,Item_9.01,-0.000387635,7.38E-05,-5.252201232,1.55E-07
abs_ret_33_per,Item_1.01,0.003854463,0.000211433,18.23020904,2.04E-72
abs_ret_33_per,Item_1.02,0.001924301,0.000453036,4.247570338,2.19E-05
abs_ret_33_per,Item_1.03,0.020081809,0.00633067,3.172145662,0.001520381
abs_ret_33_per,Item_1.04,0.000239324,0.001611973,0.148466763,0.881979129
abs_ret_33_per,Item_1.05,-0.004428931,0.004727741,-0.936796424,0.348898917
abs_ret_33_per,Item_2.01,-0.000505496,0.000409709,-1.233791512,0.217326274
abs_ret_33_per,Item_2.02,0.011507737,0.000361667,31.81857269,2.81E-206
abs_ret_33_per,Item_2.03,-0.002206417,0.00025391,-8.689753401,4.57E-18
abs_ret_33_per,Item_2.04,0.005435729,0.002091188,2.599350104,0.00936166
abs_ret_33_per,Item_2.05,0.010819351,0.000958898,11.28310614,3.01E-29
abs_ret_33_per,Item_2.06,0.000480896,0.001397462,0.344120698,0.730766914
abs_ret_33_per,Item_3.01,0.006006283,0.000680906,8.821015725,1.45E-18
abs_ret_33_per,Item_3.02,0.003802924,0.000424034,8.968434993,3.90E-19
abs_ret_33_per,Item_3.03,0.000544416,0.000613203,0.887824146,0.374668984
abs_ret_33_per,Item_4.01,0.001679876,0.000604672,2.778162142,0.005482791
abs_ret_33_per,Item_4.02,0.007559534,0.001693239,4.464540259,8.16E-06
abs_ret_33_per,Item_5.01,0.005717206,0.001610532,3.549886664,0.000388187
abs_ret_33_per,Item_5.02,0.002301952,0.000120839,19.0497566,1.00E-78
abs_ret_33_per,Item_5.03,0.002074636,0.000268155,7.736691576,1.18E-14
abs_ret_33_per,Item_5.04,0.001216182,0.001643778,0.739869739,0.459406394
abs_ret_33_per,Item_5.05,0.003087911,0.001236803,2.496687291,0.012561091
abs_ret_33_per,Item_5.06,0.000283503,0.002814426,0.100731984,0.919766401
abs_ret_33_per,Item_5.07,-0.000195761,0.000129378,-1.513098764,0.130304348
abs_ret_33_per,Item_5.08,-0.002437964,0.001654145,-1.473851479,0.140571162
abs_ret_33_per,Item_7.01,0.003933254,0.000226821,17.34076687,7.48E-66
abs_ret_33_per,Item_8.01,0.003034242,0.000166374,18.23742683,1.80E-72
abs_ret_33_per,Item_9.01,-0.000868121,0.000145972,-5.947173242,2.87E-09
abs_ret_66_per,Item_1.01,0.004607875,0.000268532,17.15947955,1.50E-64
abs_ret_66_per,Item_1.02,0.002352803,0.00062021,3.793557267,0.000149885
abs_ret_66_per,Item_1.03,0.024164186,0.009004056,2.683699986,0.00730013
abs_ret_66_per,Item_1.04,0.001031941,0.002344862,0.440086275,0.659889605
abs_ret_66_per,Item_1.05,0.001721581,0.004308925,0.399538429,0.689509955
abs_ret_66_per,Item_2.01,0.000393334,0.000559748,0.702699025,0.482269103
abs_ret_66_per,Item_2.02,0.012319591,0.000429962,28.65271792,6.59E-170
abs_ret_66_per,Item_2.03,-0.002499881,0.000337771,-7.401117424,1.53E-13
abs_ret_66_per,Item_2.04,0.004369712,0.002520325,1.733789291,0.083004028
abs_ret_66_per,Item_2.05,0.013042995,0.00123422,10.56780672,6.89E-26
abs_ret_66_per,Item_2.06,0.000529633,0.001905392,0.277965099,0.781048203
abs_ret_66_per,Item_3.01,0.006689959,0.0009027,7.411052692,1.42E-13
abs_ret_66_per,Item_3.02,0.005141922,0.000591077,8.699248321,4.20E-18
abs_ret_66_per,Item_3.03,0.001145233,0.000827829,1.383417405,0.166585564
abs_ret_66_per,Item_4.01,0.00149215,0.00081869,1.822606452,0.068410037
abs_ret_66_per,Item_4.02,0.009981416,0.00214446,4.654511617,3.31E-06
abs_ret_66_per,Item_5.01,0.00781062,0.002137001,3.654945341,0.000259315
abs_ret_66_per,Item_5.02,0.002424399,0.000159344,15.21490958,2.25E-51
abs_ret_66_per,Item_5.03,0.002662673,0.00036244,7.346517475,2.29E-13
abs_ret_66_per,Item_5.04,-0.001667659,0.002029755,-0.821605722,0.411332187
abs_ret_66_per,Item_5.05,0.002986559,0.001692249,1.764846657,0.077637619
abs_ret_66_per,Item_5.06,0.003085784,0.003733427,0.826528537,0.408535402
abs_ret_66_per,Item_5.07,-7.22E-05,0.000174952,-0.412966459,0.679645136
abs_ret_66_per,Item_5.08,-0.004670229,0.002334145,-2.000830921,0.045453118
abs_ret_66_per,Item_7.01,0.004223696,0.000288218,14.65450579,7.57E-48
abs_ret_66_per,Item_8.01,0.003120503,0.00021243,14.6895357,4.60E-48
abs_ret_66_per,Item_9.01,-0.000910672,0.000190395,-4.783064083,1.77E-06
log_retail_2per,Item_1.01,7.32E-06,1.83E-06,4.007295316,6.21E-05
log_retail_2per,Item_1.02,-3.58E-06,2.81E-06,-1.275683042,0.2021143
log_retail_2per,Item_1.03,-3.40E-05,1.21E-05,-2.811877856,0.004940446
log_retail_2per,Item_1.04,-1.04E-05,1.36E-05,-0.765205356,0.44417774
log_retail_2per,Item_1.05,1.05E-05,1.15E-05,0.913181293,0.361181909
log_retail_2per,Item_2.01,4.79E-06,2.68E-06,1.788513592,0.073740894
log_retail_2per,Item_2.02,1.60E-05,2.01E-06,7.978991315,1.74E-15
log_retail_2per,Item_2.03,-9.38E-06,2.10E-06,-4.461618274,8.27E-06
log_retail_2per,Item_2.04,-8.06E-06,1.19E-05,-0.677204357,0.498301001
log_retail_2per,Item_2.05,1.66E-05,6.81E-06,2.428909754,0.0151719
log_retail_2per,Item_2.06,1.49E-05,1.06E-05,1.394647689,0.163170946
log_retail_2per,Item_3.01,-3.00E-05,5.51E-06,-5.439835212,5.53E-08
log_retail_2per,Item_3.02,-4.26E-06,3.76E-06,-1.134611293,0.256581094
log_retail_2per,Item_3.03,-1.14E-05,4.12E-06,-2.774550883,0.005543975
log_retail_2per,Item_4.01,-1.73E-05,3.34E-06,-5.175760465,2.34E-07
log_retail_2per,Item_4.02,-9.93E-06,7.80E-06,-1.272920772,0.20309281
log_retail_2per,Item_5.01,1.96E-05,1.09E-05,1.797648021,0.072280345
log_retail_2per,Item_5.02,-4.38E-06,1.10E-06,-3.972703439,7.18E-05
log_retail_2per,Item_5.03,-3.58E-07,1.79E-06,-0.200326937,0.841231319
log_retail_2per,Item_5.04,3.07E-06,7.20E-06,0.425862886,0.670222209
log_retail_2per,Item_5.05,-4.16E-06,6.77E-06,-0.614530739,0.538886709
log_retail_2per,Item_5.06,-3.16E-05,1.41E-05,-2.237383784,0.025295859
log_retail_2per,Item_5.07,-2.91E-06,1.02E-06,-2.865610418,0.004175749
log_retail_2per,Item_5.08,-1.63E-05,1.01E-05,-1.612037742,0.107003478
log_retail_2per,Item_7.01,9.08E-06,1.52E-06,5.964358428,2.59E-09
log_retail_2per,Item_8.01,1.05E-05,1.29E-06,8.179816153,3.40E-16
log_retail_2per,Item_9.01,1.31E-06,1.31E-06,0.99882055,0.317919731
log_retail_4per,Item_1.01,2.60E-05,3.62E-06,7.178620785,7.85E-13
log_retail_4per,Item_1.02,6.35E-08,6.06E-06,0.010480235,0.991638465
log_retail_4per,Item_1.03,9.52E-05,0.000151817,0.626826424,0.53079558
log_retail_4per,Item_1.04,-2.31E-05,2.75E-05,-0.840747612,0.400521033
log_retail_4per,Item_1.05,1.32E-05,2.33E-05,0.567871359,0.570142421
log_retail_4per,Item_2.01,4.35E-07,5.10E-06,0.085216784,0.932091737
log_retail_4per,Item_2.02,4.23E-05,4.75E-06,8.913231805,6.38E-19
log_retail_4per,Item_2.03,-3.09E-05,4.22E-06,-7.319587535,2.80E-13
log_retail_4per,Item_2.04,3.58E-06,2.59E-05,0.138127793,0.890143805
log_retail_4per,Item_2.05,5.99E-05,1.49E-05,4.034340278,5.54E-05
log_retail_4per,Item_2.06,4.13E-05,2.34E-05,1.763208263,0.077913513
log_retail_4per,Item_3.01,-6.84E-05,1.11E-05,-6.163359691,7.56E-10
log_retail_4per,Item_3.02,1.02E-06,7.85E-06,0.130541185,0.896142412
log_retail_4per,Item_3.03,-1.40E-05,8.78E-06,-1.593254177,0.111153008
log_retail_4per,Item_4.01,-3.51E-05,6.96E-06,-5.045242835,4.66E-07
log_retail_4per,Item_4.02,-1.22E-05,1.82E-05,-0.668500174,0.503838697
log_retail_4per,Item_5.01,2.92E-05,2.19E-05,1.331914776,0.18293605
log_retail_4per,Item_5.02,-7.44E-06,1.68E-06,-4.433518292,9.43E-06
log_retail_4per,Item_5.03,2.95E-06,3.58E-06,0.824075251,0.409927786
log_retail_4per,Item_5.04,1.24E-05,1.45E-05,0.859749284,0.389959753
log_retail_4per,Item_5.05,-1.06E-05,1.22E-05,-0.864572381,0.387306231
log_retail_4per,Item_5.06,-7.46E-05,2.99E-05,-2.499972544,0.012445347
log_retail_4per,Item_5.07,-6.87E-06,1.47E-06,-4.678997415,2.94E-06
log_retail_4per,Item_5.08,-5.44E-05,1.70E-05,-3.201422156,0.001374257
log_retail_4per,Item_7.01,2.75E-05,3.38E-06,8.139396381,4.74E-16
log_retail_4per,Item_8.01,3.05E-05,2.75E-06,11.08523109,2.69E-28
log_retail_4per,Item_9.01,3.07E-06,2.28E-06,1.34505541,0.178655429
log_retail_33per,Item_1.01,0.000457991,2.54E-05,18.04936169,4.69E-71
log_retail_33per,Item_1.02,6.07E-05,5.03E-05,1.205969436,0.227874285
log_retail_33per,Item_1.03,0.00160071,0.001147763,1.394634502,0.163174955
